FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  6        2.6555871511      -8.5784207187      -3.3215695971
  6       -2.6869162184       6.8904348698      -1.1681395335
  7       -1.4741752556       2.6207639037       0.4445342840
  1        0.5289711278      -0.8105373677       0.2764454596
  1        0.3013534395      -0.3251473220      -0.3899090497
  6        0.0624613019       0.9704841082       0.9124563460
  8        0.5740273874       0.0056092651      -0.2322607511
  7       -4.2810478345      -2.5365235992      -0.5551356921
  6        6.3170155240       1.9338914559       4.5556792756
  7       -0.0118830208      -1.5666575557      -1.6658977531
  1       -0.7520774485      -0.3121972547       0.1066815869
  1        0.2772089951       0.4695097655       0.3252882024
  1       -1.5105251490       1.2387904498       0.7118272221
FINAL HEAT OF FORMATION =     -1513.8645970613  time =       3.6000000000
  6        2.5283198752      -8.6075257757      -3.2219585551
  6       -2.6669375703       6.8562126554      -1.2663852029
  7       -1.4743836871       2.5565733681       0.4478039823
  1        0.5513873509      -0.7793366301       0.2457893900
  1        0.2951419757      -0.3316793025      -0.4269158509
  6        0.1240712981       0.9701610759       0.8721266145
  8        0.5041529718      -0.0019183481      -0.1961397391
  7       -4.1436784652      -2.4563748653      -0.5763886577
  6        6.1540496894       1.8113946183       4.5620487708
  7        0.0269289488      -1.5144162431      -1.6793071618
  1       -0.8117993926      -0.3380620373       0.1186807865
  1        0.3040006682       0.4856434914       0.3661410510
  1       -1.3912536629       1.3493279929       0.7545045724
FINAL HEAT OF FORMATION =     -1513.8646017606  time =       3.7000000000
  6        2.3980217509      -8.6303810933      -3.1166592036
  6       -2.6458265410       6.8202976031      -1.3659742510
  7       -1.4724100321       2.4923711095       0.4480088291
  1        0.5737210655      -0.7474237076       0.2148218858
  1        0.2894018425      -0.3381253855      -0.4623223449
  6        0.1855556073       0.9693519187       0.8313743036
